"","DCISMS1","DCISMS2","DCISMS3","DCISMS4","DCISMS5","DCISMS6","DCISMS7","DCISMS8","DCISMS9","DCISMS10","DCISMS11","DCISMS12","DCISMS13","DCISMS14","DCISMS15","DCISMS16","DCISMS17","DCISMS18","DCISMS19","DCISMS20","DCISMS21","DCISMS22","DCISMS23","DCISMS24","DCISMS25","DCISMS26","DCISMS27"
"DCISMS1",1,0.807749371968612,0.528349029708853,0.553033176203654,-0.104276896953957,0.500117652858822,-0.256451915205002,-0.133173676651592,0.622431866731611,-0.222392668947181,0.577905021375408,0.540808248571451,0.462856089742126,0.507245065507721,-0.127096046891103,0.431339867137981,-0.133359308254966,-0.130786854041218,-0.119633877652702,0.484754949481144,0.560063253423902,0.606640519250417,0.584447466807093,0.513852983689572,0.531282009669838,0.548238189175725,0.581269598223075
"DCISMS2",0.807749371968612,1,0.491925273662087,0.525653871752124,-0.131944003115588,0.477428987146266,-0.244128889092691,-0.159788875035734,0.5783080158009,-0.228665172757286,0.503315608247749,0.513791534941701,0.430352528843806,0.417378116883665,-0.0443283797837957,0.388755345254598,-0.0776729102743978,-0.0832671964044194,-0.0787745207163075,0.446578297391429,0.526171175984153,0.579726049391924,0.541481632743464,0.460628988607088,0.492514179998398,0.533365779310309,0.547476589706042
"DCISMS3",0.528349029708853,0.491925273662087,1,0.575161885879854,-0.375323720485398,0.486254095679799,-0.448598510148366,-0.250342180058109,0.490921357639718,-0.455589759350753,0.514938917895551,0.459508702322579,0.389713492300515,0.422939795966321,-0.146536641288221,0.328942887191014,-0.251257830522898,-0.181441103177702,-0.260624887774947,0.34526078354766,0.572142213677064,0.507439901806695,0.471748571698567,0.571094270304874,0.438082607738741,0.714217920587841,0.72791309751673
"DCISMS4",0.553033176203654,0.525653871752124,0.575161885879854,1,-0.198440885380031,0.647977869754161,-0.420047378163188,-0.303056402691338,0.591546083198548,-0.34743255862872,0.575804033175306,0.599289720562838,0.425119614418223,0.507611635132196,-0.0194708724078093,0.49183353049453,-0.159901650436683,-0.0761973759583609,-0.169366486434157,0.498250074122826,0.555828577257636,0.607127944335545,0.604792993030957,0.522498482222148,0.505230018176118,0.600974205613356,0.626405663271458
"DCISMS5",-0.104276896953957,-0.131944003115588,-0.375323720485398,-0.198440885380031,1,-0.0826684443768267,0.597866099022473,0.324101763225584,-0.113687911034812,0.484314371851969,-0.166651520055635,-0.125247367099549,-0.12999691923465,-0.0971708633956335,0.307413507757292,-0.0213607610336844,0.300047247972976,0.328459334232351,0.370791915656751,-0.0618810275421506,-0.252250636248159,-0.177493956939097,-0.0803501631785,-0.282869695041733,-0.236669531093344,-0.331202902050461,-0.298639234389217
"DCISMS6",0.500117652858822,0.477428987146266,0.486254095679799,0.647977869754161,-0.0826684443768267,1,-0.245023079932077,-0.242921288588077,0.682829756735006,-0.270153876714451,0.452712172659703,0.433583363686274,0.340706648646435,0.422797843186975,-0.0196707144419139,0.527797438979892,-0.104917436430051,0.0560625019226345,-0.0168261831045198,0.454242820717895,0.539717747505444,0.53938088148334,0.633311650201856,0.470381757548939,0.492464344596904,0.539695547039595,0.538384751672706
"DCISMS7",-0.256451915205002,-0.244128889092691,-0.448598510148366,-0.420047378163188,0.597866099022473,-0.245023079932077,1,0.502591624439722,-0.270507188852428,0.641713623942639,-0.30250519992431,-0.305316334134792,-0.169608585054949,-0.215671871846711,0.273231348671812,-0.113937343650421,0.34350770736237,0.301963599780828,0.288880254035982,-0.100550837148486,-0.370228888993642,-0.33014089374869,-0.229538131934391,-0.311368273229979,-0.306965003539726,-0.470644202028611,-0.452060169761056
"DCISMS8",-0.133173676651592,-0.159788875035734,-0.250342180058109,-0.303056402691338,0.324101763225584,-0.242921288588077,0.502591624439722,1,-0.225417036862306,0.410578616612285,-0.229571502288958,-0.22539911469286,-0.0758953952584193,-0.121693795426177,0.176115085783899,-0.156515282388867,0.306242805923508,0.205928704428928,0.187175856459016,-0.119979965443321,-0.196597727889781,-0.197977555785648,-0.164303335414513,-0.0489296207711118,-0.0733412370036583,-0.285704090692336,-0.283018147610047
"DCISMS9",0.622431866731611,0.5783080158009,0.490921357639718,0.591546083198548,-0.113687911034812,0.682829756735006,-0.270507188852428,-0.225417036862306,1,-0.293989651746385,0.525544459451494,0.498164324253814,0.339876943478771,0.421222390857846,-0.017945470716595,0.521600774488461,-0.129123587259591,-0.0780157289347286,-0.051442260968642,0.531801215453835,0.576013918757073,0.625980461153014,0.653011991286408,0.456010138192098,0.472578788308673,0.524882725447391,0.548729468203459
"DCISMS10",-0.222392668947181,-0.228665172757286,-0.455589759350753,-0.34743255862872,0.484314371851969,-0.270153876714451,0.641713623942639,0.410578616612285,-0.293989651746385,1,-0.300706993459369,-0.290910656522954,-0.144930097158098,-0.20169219559129,0.236982509715607,-0.152365618594101,0.346447027362136,0.370384503330599,0.221912431957303,-0.106953325941317,-0.324169075738899,-0.297349509713961,-0.211365911731644,-0.283303834302677,-0.258546931624747,-0.418683085611583,-0.435168159716982
