"","ID","StartDate","EndDate","Progress","Duration__in_seconds_","Finished","consent","Screen1","Screen2","Screen3","Screen4","age_1","age_2","TotalAge","gender_1","gender_2","gender_3","gender_4","gender_5","gender_6","gender_6_TEXT","sexorient_1","sexorient_2","sexorient_3","sexorient_4","sexorient_6","sexorient_7","sexorient_7_TEXT","relationship","pgender_1","pgender_2","pgender_3","pgender_4","pgender_5","pgender_6","pgender_6_TEXT","psexorient_1","psexorient_2","psexorient_3","psexorient_4","psexorient_5","psexorient_6","psexorient_6_TEXT","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","race_9","race_10","race_9_TEXT","income","edu","student","known_1","Known_years","known_2","Known_months","reltime_1","Reltime_years","reltime_2","Reltime_months","married","martime_1","Martime_years","martime_2","Martime_months","involved","involved_4_TEXT","live","livetime_1","Livetime_years","livetime_2","Livetime_months","children","childnum","childage","military","military_1_TEXT","SSFam1","SSFam2","SSFam3","SSFam4","SSFam5","SSFam6","SSFam7","SSFam8","SSFam9","SSFam_mean","SSFamP1","SSFamP2","SSFamP3","SSFamP_mean","SSfamVis1","SSfamVis2","SSfamVis3","SSfamVis4","SSfamVis5","SSfamVis6","SSfamVis7","SSfamVis_mean","SSpubVis1","SSpubVis2","SSpubVis3","SSpubVis4","SSpubVis5","SSpubVis6","SSpubVis_mean","SSViol1","SSViol2","SSViol3","SSViol4","SSViol5","SSViol6","SSViol7","SSViol_mean","SSMis1","SSMis2","SSMis3","SSMis_mean","SSwDis1","SSwDis2","SSwDis3","SSwDis4","SSwDis5","SSwDis6","SSwDis7","SSwDis_mean","SSgenDis1","SSgenDis2","SSgenDis3","SSgenDis4","SSgenDis5","SSgenDis6","SSgenDis7","SSgenDis8","SSgenDis9","SSgenDis10","SSgenDis_mean","SScon1","SScon2","SScon3","SScon4","SScon_mean","SSTOT_mean","DCISMS1","DCISMS2","DCISMS3","DCISMS4","DCISMS5","DCISMS5r","DCISMS6","DCISMS7","DCISMS7r","DCISMS8","DCISMS8r","DCISMS9","DCISMS10","DCISMS10r","DCISMS11","DCISMS12","DCISMS13","DCISMS14","DCISMS15","DCISMS15r","DCISMS16","ATTCHK1","DCISMS17","DCISMS17r","DCISMS18","DCISMS18r","DCISMS19","DCISMS19r","DCISMS20","DCISMS21","DCISMS22","DCISMS23","DCISMS24","DCISMS25","DCISMS26","DCISMS27","Stresscoms","sdcemots","sdcprobs","ndcs","Stresscomp","sdcemotp","sdcprobp","ndcp","emotcdc","probcdc","DCeval","DCtots","DCtotp","DCtot","GLRS1","GLRS1r","GLRS2","GLRS2r","GLRS3","GLRS4","GLRS5","GLRS6","GLRS7","GLRS8","GLRS9","GLRS9r","GLRS10","GLRS11","GLRS12","GLRS13","GLRS14","GLRS14r","ATTCHK2","GLRS15","GLRS16","GLRS16r","GLSTOT","CRSI1","CRSI2","CRSI3","CRSI4","CRSI5","CRSI6","CRSI7","CRSI8","ATTCHK3","CRSI9","CRSI10","CRSI11","CRSI12","CRSI13","CRSI14","CRSI15","CRSI16","ConEngage","PosProbSol","WithDr","Comp","gender","sexorient","pgender","psexorient","race","reltype_sex","reltype_gender","GLRS8r","reltype_gender_1"
"1",3,2021-05-10 13:25:21,2021-05-10 13:32:00,100,399,1,1,2,3,2,4,31,6,31.5,1,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",1,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,"straight",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",2,6,3,3,3.5,6,42,3,3.41666666666667,5,41,0,NA,NA,NA,NA,3,"",1,2,2.5,6,30,0,NA,NA,0,"",1,1,0,0,0,0,1,1,0,0.444444444444444,1,1,0,0.666666666666667,0,0,0,0,1,1,1,0.428571428571429,NA,NA,NA,0,1,0,0.333333333333333,0,0,0,0,0,0,1,0.142857142857143,1,1,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,1,1,1,0.75,0.320754716981132,1,1,3,3,3,3,3,3,3,2,4,3,2,4,3,3,3,3,3,3,3,2,1,5,1,5,1,5,1,3,3,3,4,3,3,3,2,6,4,6,6,6,6,10,7,9,6,3,3.2,78,4,4,4,4,1,4,3,5,3,5,4,4,3,3,3,5,3,5,7,5,4,4,61,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,12,12,12,12,1,1,2,6,8,3,3,5,"Dif-Gend"
"2",5,2021-05-10 13:33:50,2021-05-10 13:41:06,100,436,1,1,2,3,2,5,25,4,25.3333333333333,1,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",1,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,"Straight",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",2,5,4,6,6,0,72,5,5.41666666666667,5,65,0,NA,NA,NA,NA,3,"",2,NA,NA,NA,NA,0,NA,NA,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,1,5,3,1,5,1,5,4,1,5,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,5,5,5,5,6,6,6,12,6,8,7,4,10,9,10,3,4.1,90,2,6,5,3,7,7,6,4,7,1,1,7,6,7,2,7,1,7,7,7,5,3,93,1,5,1,3,1,5,1,4,5,1,4,1,3,1,5,1,3,4,19,4,13,1,1,2,6,8,3,3,7,"Dif-Gend"
"3",6,2021-05-10 13:35:40,2021-05-10 13:44:02,100,502,1,1,2,3,2,3,22,1,22.0833333333333,1,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",1,NA,1,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",1,5,2,0,0.92,11,11,0,0.92,11,11,0,NA,NA,NA,NA,2,"",2,NA,NA,NA,NA,0,NA,NA,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0.857142857142857,1,1,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857142857143,0,0,0,0,1,0,0,0,0,0,0.1,1,2,1,1,1.25,0.267857142857143,4,4,3,4,1,5,3,1,5,2,4,4,3,3,3,3,4,4,1,5,4,2,1,5,1,5,1,5,4,2,3,2,5,5,4,4,8,8,8,4,6,7,7,7,10,7,8,4.4,3.7,98,5,3,2,6,7,7,7,7,5,2,5,3,3,7,6,7,6,2,7,2,2,6,84,3,4,2,1,2,4,3,1,5,2,5,1,1,2,5,4,3,9,18,10,6,1,1,2,1,8,3,3,6,"Dif-Gend"
"4",7,2021-05-10 13:34:12,2021-05-10 13:49:29,100,916,1,1,2,3,2,4,24,12,25,1,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",1,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,"Straight",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",1,5,4,4,4.16666666666667,2,50,4,4.41666666666667,5,53,0,NA,NA,NA,NA,3,"",1,3,3,0,36,0,NA,NA,0,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,2,1,2,1,1,0,0,1,0,0,0,0,1,0,0.166666666666667,0,0,0,0,1,0,0,0.142857142857143,1,2,2,1.66666666666667,0,0,1,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0.321428571428571,2,3,4,2,1,5,2,1,5,3,3,1,2,4,4,3,5,1,1,5,1,2,1,5,1,5,1,5,1,1,1,1,4,3,4,3,5,6,2,4,7,6,3,7,7,3,7,3.3,3.3,76,5,3,5,3,7,7,6,4,4,1,4,4,6,5,6,7,4,4,7,5,4,4,82,1,5,2,1,1,4,2,3,5,1,4,1,1,1,3,NA,1,4,16,5,6,1,1,2,6,8,3,3,7,"Dif-Gend"
"5",8,2021-05-10 13:38:41,2021-05-10 13:51:47,100,786,1,1,2,2,4,4,21,1,21.0833333333333,1,NA,NA,NA,NA,NA,"",NA,NA,1,NA,NA,NA,"",1,1,NA,NA,NA,NA,NA,"",NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",3,4,4,4,4.08333333333333,1,49,3,3.66666666666667,8,44,1,2,2.08333333333333,1,25,3,"",1,0,0.67,8,96,0,NA,NA,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.428571428571429,0,0,0,0,0,0,1,0,0,1,1,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107142857142857,2,2,3,3,1,5,3,1,5,1,5,3,1,5,3,5,4,4,1,5,4,2,1,5,3,3,2,4,2,1,1,2,5,3,5,5,4,8,6,7,8,6,6,4,8,4,10,3.5,4,87,5,3,3,5,7,6,5,6,6,5,6,2,2,7,7,7,1,7,7,7,1,7,89,2,4,1,1,3,4,1,1,5,5,3,3,1,3,4,2,4,13,15,7,7,1,3,1,3,8,1,1,5,"Same-Gend"
"6",9,2021-05-10 13:46:48,2021-05-10 13:52:20,100,332,1,1,2,3,2,3,18,5,18.4166666666667,1,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",1,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,"bicurious",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",2,2,1,1,1.25,3,15,1,1.25,3,15,0,NA,NA,NA,NA,2,"",2,NA,NA,NA,NA,0,NA,NA,0,"",0,1,0,0,1,0,1,0,1,0.444444444444444,2,1,1,1.33333333333333,0,1,1,2,0,1,0,0.714285714285714,0,1,1,0,0,0,0.333333333333333,1,1,1,1,0,1,1,0.857142857142857,1,1,1,1,1,1,1,1,1,1,0,0.857142857142857,2,1,1,1,1,0,0,0,0,0,0.6,0,0,0,0,0,0.642857142857143,4,4,5,3,1,5,2,1,5,1,5,3,1,5,4,4,5,NA,1,5,3,2,1,5,1,5,1,5,4,3,3,3,3,4,4,4,8,NA,7,4,8,8,5,4,7,9,8,4.44444444444444,4.1,NA,5,3,5,3,5,6,4,4,5,3,2,6,5,7,6,7,3,5,7,5,2,6,82,1,4,2,4,4,4,4,3,5,3,4,1,2,1,3,3,3,9,15,10,12,1,1,2,6,8,3,3,5,"Dif-Gend"
"7",10,2021-05-10 13:39:48,2021-05-10 13:52:59,100,790,1,1,2,3,4,5,54,4,54.3333333333333,1,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",1,NA,1,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"",2,NA,4,31,31.0833333333333,1,373,31,31.0833333333333,1,373,1,31,31.0833333333333,1,373,3,"",1,0,0.333333333333333,4,4,0,NA,NA,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,1,5,4,1,5,1,5,4,3,3,4,4,4,4,4,2,3,2,1,5,4,2,2,4,3,4,3,3,5,5,5,5,5,8,6,11,8,8,8,6,10,10,10,3.2,4.2,94,5,3,6,2,6,5,6,6,6,6,4,4,5,5,4,7,6,2,7,5,4,4,76,2,3,1,1,2,3,1,1,5,1,4,2,1,1,3,1,3,6,13,5,6,1,1,2,1,3,3,3,6,"Dif-Gend"
"8",11,2021-05-10 13:43:52,2021-05-10 13:56:00,100,728,1,1,2,3,2,5,32,NA,32,1,NA,NA,NA,NA,NA,"",1,NA,NA,NA,1,NA,"",1,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,"Heterosexual",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",2,6,4,9,9,0,108,7,7.08333333333333,1,85,0,NA,NA,NA,NA,2,"",2,NA,NA,NA,NA,0,NA,NA,0,"",3,1,2,2,1,1,2,3,0,1.66666666666667,1,1,2,1.33333333333333,0,1,0,2,1,3,2,1.28571428571429,1,1,2,0,0,0,0.666666666666667,0,0,2,2,3,2,1,1.42857142857143,NA,3,2,2.5,1,3,3,3,1,2,0,1.85714285714286,1,2,1,2,NA,1,1,0,0,2,1.11111111111111,2,1,3,0,1.5,1.40740740740741,3,2,3,3,1,5,3,2,4,5,1,3,1,5,3,NA,5,5,1,5,3,2,2,4,1,5,1,5,4,3,3,4,5,5,3,3,5,10,7,5,NA,6,6,9,10,10,6,4.1,3.33333333333333,NA,6,2,6,2,7,7,4,7,3,1,5,3,6,6,7,6,5,3,7,5,1,7,82,2,4,5,2,2,4,2,4,5,5,4,1,3,3,5,1,2,12,17,9,11,1,5,2,6,8,3,3,7,"Dif-Gend"
"9",12,2021-05-10 13:47:46,2021-05-10 13:57:24,100,578,1,1,2,3,2,4,25,8,25.6666666666667,1,NA,NA,NA,NA,NA,"",1,NA,NA,1,1,NA,"",1,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,"Heterosexual",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",3,6,4,1,1.91666666666667,11,23,1,1.41666666666667,5,17,0,NA,NA,NA,NA,3,"",1,0,0.5,6,6,0,NA,NA,0,"",1,1,1,0,0,0,1,1,1,0.666666666666667,1,0,0,0.333333333333333,2,1,1,1,1,0,1,1,2,1,0,1,1,0,0.833333333333333,1,1,1,0,1,1,1,0.857142857142857,1,1,1,1,0,0,1,0,0,0,1,0.285714285714286,0,0,0,0,0,0,0,0,1,0,0.1,0,0,0,0,0,0.553571428571429,3,3,4,2,1,5,1,1,5,4,2,1,1,5,3,3,5,5,1,5,3,2,1,5,1,5,1,5,4,3,3,2,3,3,4,4,6,10,7,4,6,6,2,7,6,8,8,4.3,3.1,88,5,3,2,6,6,6,6,5,5,2,2,6,6,6,6,6,5,3,7,3,3,5,84,1,3,2,1,2,4,2,1,5,2,4,1,1,2,4,1,1,7,15,6,4,1,5,2,6,8,3,3,6,"Dif-Gend"
"10",13,2021-05-10 13:51:30,2021-05-10 13:58:55,100,444,1,1,2,3,4,5,41,7,41.5833333333333,1,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",1,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,"Heterosexual",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",4,2,1,20,20.0833333333333,1,241,19,19.0833333333333,1,229,1,18,18.0833333333333,1,217,3,"",1,1,1.08333333333333,1,13,1,3,NA,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,1,1,5,1,5,1,1,5,1,1,1,1,1,5,1,2,1,5,1,5,1,5,1,1,1,1,1,1,1,1,2,2,2,4,2,2,2,4,2,3,2,2.6,2.6,57,6,2,6,2,7,7,2,4,5,3,2,6,3,6,4,7,5,3,7,2,2,6,71,2,4,3,1,2,3,3,2,5,3,4,2,1,2,4,2,1,9,15,10,5,1,1,2,6,8,3,3,5,"Dif-Gend"
